handle,club_name,city,followers_est,segment,recent_activity,dm_or_email_contact,why_this_one
@tigersrunningclub,Tigers Running Club,Madrid,38000,general_beginners,active 2026,IG DM,"600+ members, explicit ""25-75 años, ritmo cómodo"" pitch, multi-park (Retiro/Madrid Río/JC1)"
@trc_therunclub,TRC - The Run Club,Madrid,??,general_beginners,active 2026,IG DM,"Runs explicit ""0 a 10K en 12 semanas"" beginner course; high beginner intent"
@triboostclub,Triboost,Madrid,8962,general_beginners,active 2026,IG DM,"Explicit ""KM0"" beginner program, Madrid Río; aligned with our 0-5K plan"
@runnersmadridrio,Runners Madrid Río,Madrid,??,general_beginners,active 2026,IG DM,"Neighborhood-based crew Madrid Río, multi-level, no elite focus"
@runnersclubretiro,Runners Club Retiro,Madrid,??,general_beginners,active 2026,IG DM,"Small-group Tues/Thurs 7am in Retiro; intimate, beginner-friendly"
@madrunnerss,MadRunners,Madrid,??,general_beginners,active 2026,IG DM,"Crew Madrid by @fante_oficial; social, all levels"
@themadridgirlsclub,Madrid Girls Club,Madrid,200,women,active 2026,IG DM,"Tiny (~200 followers) but pure women lifestyle + run club; high reply rate likely"
@runningclub_bcn,RCB Running & Wellness Community,Barcelona,??,general_beginners,active 2026,IG DM,"Wellness-positioned (not elite), inclusive vibe"
@she.runs.club,SheRuns Club,Barcelona,??,women,active 2026,IG DM,"Bio: ""feel-good running, judgment-free""; explicit beginner welcome"
@runningclubotfbcn,Running Club OTF Barcelona,Barcelona,??,general_beginners,active 2026,IG DM,"OrangeTheory-linked but offers ""all levels"" free trial; entry-point club"
@sunriserunnersclub,YEPALO Sunrise Runners,Barcelona,??,general_beginners,active 2026,IG DM,"Splits into 3-4 pace groups inc 6:00-7:30/km; explicit no-drop pace"
@socialrunclubvlc,Social Run Club Valencia,Valencia,??,general_beginners,active 2026,IG DM,"Social-first positioning (not race-first); Sunday relaxed runs"
@nosotrasdeportistas,Nosotras Deportistas,Valencia,??,women,active 2026,IG DM + email,"Women's club; explicit ""empieza desde cero"" intake Jan/Apr/Sep — IDEAL match"
@runnerscdvlc,Runners Ciutat de València,Valencia,??,general_beginners,active 2026,IG DM,"Explicit ""bloque de iniciación"" — beginner block in their plan"
@sevillarunningclub,Sevilla Running Club,Sevilla,??,general_beginners,active 2026,IG DM,"Tues/Thurs 8:30pm Torre del Oro; social, both beginners + experienced"
@ritmo.sevilla,RITMO RUN CLUB Sevilla,Sevilla,??,general_beginners,active 2026,IG DM,"Part of multi-city RITMO network, social-positioned"
@runfightersclub,Run Fighters Club,Bilbao,??,general_beginners,active 2026,IG DM + email,"Email: runfightersclub@gmail.com; social run focus, contactable"
@beerrunners_bilbao,Beer Runners Bilbao,Bilbao,1532,general_beginners,active 2026,IG DM,"Tiny (1.5K), social-first (beer+run), inclusive vibe"
@easyrunnerss,Easy runnerss Social Running Club,San Sebastián,??,general_beginners,active 2026,IG DM,"Name literally says ""easy runs""; recovery sessions; perfect beginner match"
@10kclubzgz,10K Club Zaragoza,Zaragoza,??,women,active 2026,IG DM + web,"Self-described ""largest women's club in Spain""; recurring 0-to-10K intake"
@runningzgz,RunningZgz,Zaragoza,5122,general_beginners,active 2026,IG DM,"Mid-sized (~5K), generalist Zaragoza crew, manageable to reply"
@beerrunnersmalaga,Beer Runners Málaga,Málaga,??,general_beginners,active 2026,IG DM,"Tues 20:15 Letters at Malagueta, ""ritmo cómodo"" stated"
??,Poncebos Club,Málaga,??,general_beginners,active 2026,??,"Coffee-shop-based runs in Málaga, ""adapted to all levels"" — handle not verified"
@vigorunners,Vigo Runners,Vigo,??,general_beginners,active 2026,IG DM,"City-based generalist crew; Vigo has very limited beginner options so high relevance"
@shakaclubb,Shaka Club Vigo,Vigo,??,general_beginners,active 2026,IG DM,"Founded by Rocío Pontán; explicit ""todos los ritmos bienvenidos"" pitch"
@corunarunner,Coruña Runner,A Coruña,??,general_beginners,active 2026,IG DM,"Community-led Galicia routes/events; runner-tourism friendly"
@comemillasrunning,Comemillas Running Club,Murcia,4000,general_beginners,active 2026,IG DM,"4K followers (sweet spot), road + trail, beginner intake mentioned in bio"
@osomrunningclub,Osom Running Club,Murcia,??,general_beginners,active 2026,IG DM,"Sat 8:45 Jardín Botánico, social-first, small scale"
@goforthrunners,Go Forth Runners,Palma,??,general_beginners,active 2026,IG DM + web,"300+ members Mallorca, ""different levels"" stated"
??,Angry Pablo Social Run Club,Palma,??,general_beginners,active 2026,??,"Free open runs Palma ""all abilities... first 5K"" — handle not verified"
@owlrunnersalicante,Owl Runners Alicante,Alicante,??,general_beginners,active 2026,IG DM,"Popular crew for road/trail/track; explicit good-company positioning"
@wearerunningsociety,Running Society,Las Palmas,2499,general_beginners,active 2026,IG DM,"~2.5K followers (perfect size), Tues 5K / Sat 8K, ""all levels welcome"""
