segment,name,city,email,phone,website,ig_handle,notes
club,10K Club Zaragoza,Zaragoza,info@10kclubzgz.com,669349098,https://10kclubzgz.com,@10kclubzgz,Largest women's popular running club in Spain. Confirmed in FAQ + aviso legal.
club,Nosotras Deportistas,Valencia,contacto@nosotrasdeportistas.com,??,https://nosotrasdeportistas.com,@nosotrasdeportistas,Women's running club Valencia. Email confirmed on website.
club,Run Fighters Club,Bilbao,runfightersclub@gmail.com,607343221,??,@runfightersclub,Tuesday social runs at Bissap Food Zubiarte. Email + phone confirmed.
club,Triboost Club,Madrid,hola@triboost.club,617421113,https://triboost.club,@triboostclub,Triatlón + running + trail. Sede Paseo Chopera 1.
club,TRC The Run Club,Madrid,contacto@therunclub.es,+34640852247,https://therunclub.es,@trc_therunclub,Largest running club Madrid. 5 sedes (Madrid Río Retiro Aravaca JC1 Móstoles).
club,Tigers Running Club,Madrid,info@tigersrunningclub.com,911384208,https://www.tigersrunningclub.com,@tigersrunningclub,38k IG followers. 600+ miembros entre Retiro y Madrid Río.
club,Comemillas Running Club,Murcia,comemillasrunning@gmail.com,??,https://comemillas.es,@comemillasrunning,Running + trail. ~120 miembros. Federado RFEA FAMU FEDME.
club,Go Forth Runners,Palma de Mallorca,??,690215651,https://www.goforthrunners.es,@goforthrunners,Sin email público — WhatsApp Francesc Genovard 690215651 (Palma) o Bernat Ramis 608079396 (Manacor/Inca). 300+ corredores.
club,Easy Runnerss Social Running Club,San Sebastián,??,??,??,@easyrunnerss,Sin web. Solo IG DM. Creado por Las Mellis (@mellitropia_). Plan Behobia.
club,Sevilla Running Club,Sevilla,??,??,https://sevillarunningclub.com,@sevillarunningclub,Founder Jorge Pereira. Sin email público — solo formulario web e IG. Meeting Torre del Oro Mar/Jue. 100+ miembros 30+ países.
organizer,Onupolis (Consulting TPO),Huelva,marketing@onupolis.es,+34691772302,https://www.onupolis.es,@onupolis,Circuito 6 carreras populares 10K/5K/2K. Organiza Vanesa Arana (Consulting TPO). CONFIRMADO contacto existente.
organizer,Diputación de Sevilla — Servicio Técnico Deportes,Sevilla,serviciotecnicodeportes@dipusevilla.es,??,https://www.dipusevilla.es/temas/deportes/,??,Circuitos Deportivos Provinciales (atletismo cross popular). Av. Menéndez Pelayo 30.
organizer,Diputación de Málaga — Deportes (Carreras Populares),Málaga,amoya@malaga.es,??,https://www.malaga.es/deportes/,??,Contacto directo del Circuito Provincial de Carreras Populares (A. Moya). XXXIII Circuito 2025.
organizer,Diputación de Granada — Delegación Deportes,Granada,dipgra@dipgra.es,958247500,https://www.dipgra.es/servicios/areas/deportes/,@Deporte_Granada,Gran Premio de Fondo (gpfgranada.es) — 17 pruebas urbanas + 3 medias + 13 10Ks. Email general (no específico deportes).
organizer,Diputación de Córdoba — Delegación Juventud y Deportes,Córdoba,atc01@dipucordoba.es,957211432,https://deportes.dipucordoba.es,@dipucordoba,Alberto Tejeda Cano (Jefe Departamento). Circuito Provincial 58 pruebas (13 capital + 45 provincia). Sec. delegado idac01@dipucordoba.es.
organizer,Diputación de Cádiz — Servicio Deportes,Cádiz,deportes@dipucadiz.es,956292677,https://www.dipucadiz.es/deportes/,??,VIII Circuito Provincial Carreras Populares + Cross. 5 fechas/año + 4 cross.
organizer,Diputación de Jaén — Área Deportes,Jaén,deportes@dipujaen.es,953248000,https://deportes.dipujaen.es,??,XVII Gran Premio Carreras Populares 'Jaén Paraíso Interior'. Circuitos campo a través + carreras por montaña.
organizer,Diputación de Almería — Área Deporte (Cruzando la Meta),Almería,info@cruzandolameta.es,??,https://carreraspopularesalmeria.com,??,Circuito Provincial Carreras Populares (XVI edición 2026). Marzo-Octubre 18 municipios distancias 7-10km.
organizer,Zurich Maratón de Sevilla (IMD),Sevilla,patrocinio@zurichmaratonsevilla.es,913470093,https://www.zurichmaratonsevilla.es,??,IMD Sevilla. 17.000 dorsales 2026. Departamentos especializados disponibles (patrocinio entrenamiento voluntarios).
organizer,IMD Sevilla (Instituto Municipal Deportes),Sevilla,informacion@imd.sevilla.org,955475010,https://imd.sevilla.org,??,Organiza Circuito Sevilla10 (incluye Casco Antiguo CaixaBank) + Carrera Nocturna Guadalquivir KH7 (29ª ed).
organizer,Generali Maratón Málaga (ATRES ADVERTISING SLU),Málaga,info@generalimaratonmalaga.com,??,https://www.generalimaratonmalaga.com,??,Maratón + media maratón 7-8 nov 2026. Paseo del Parque salida/meta.
organizer,Media Maratón Ciudad de Cádiz / Cronofinisher,Cádiz,info@cronofinisher.com,??,https://mediamaratoncadiz.com,@mediamaratonciudaddecadiz,III Media Maratón 8 nov 2026. Voluntarios: voluntarios@mediamaratonciudaddecadiz.com.
