Páginas principales,Clics,Impresiones,CTR,Posición
https://www.correrjuntos.com/,143,761,18.79%,4.16
https://www.correrjuntos.com/carreras/trail-costa-quebrada,70,203,34.48%,4.44
https://www.correrjuntos.com/carreras/cursa-merce-barcelona,68,804,8.46%,6.76
https://www.correrjuntos.com/blog/en/madrid-marathon-guide,67,4925,1.36%,9.3
https://www.correrjuntos.com/carreras/cursa-bombers-barcelona,52,838,6.21%,7.61
https://www.correrjuntos.com/cities/montevideo,50,555,9.01%,8.07
https://www.correrjuntos.com/blog/zapatillas-deka-strong-atlas,47,382,12.3%,4.59
https://correrjuntos.com/,46,96,47.92%,3.29
https://www.correrjuntos.com/blog/maraton-madrid-guia,45,1457,3.09%,12.58
https://www.correrjuntos.com/blog/en/running-groups-barcelona,44,1308,3.36%,7.62
https://www.correrjuntos.com/blog/mejores-zapatillas-running-sobrepeso,37,2142,1.73%,9.47
https://www.correrjuntos.com/cities/granada,37,693,5.34%,15.79
https://www.correrjuntos.com/blog/grupos-running-madrid,36,479,7.52%,11.48
https://www.correrjuntos.com/carreras/carrera-empresas-madrid,34,582,5.84%,11.79
https://www.correrjuntos.com/blog/en/running-groups-madrid,30,911,3.29%,7.35
https://www.correrjuntos.com/blog/cuanto-tardo-en-correr-5km,28,8973,0.31%,9.47
https://www.correrjuntos.com/blog/mejores-geles-energeticos-running,28,1468,1.91%,16.41
https://www.correrjuntos.com/carreras/jean-bouin-barcelona,28,1251,2.24%,8.21
https://www.correrjuntos.com/blog/mejores-zapatillas-hyrox,28,729,3.84%,11.7
https://www.correrjuntos.com/blog/carreras-trail-principiantes,28,346,8.09%,16.9
https://www.correrjuntos.com/blog/en/salomon-speedcross-6-vs-hoka-speedgoat-6,26,1412,1.84%,7.24
https://www.correrjuntos.com/blog/gorras-running,26,1217,2.14%,6.82
https://www.correrjuntos.com/carreras/nocturna-guadalquivir-sevilla,25,445,5.62%,8.91
https://www.correrjuntos.com/blog/empezar-a-correr-despues-de-los-60,25,432,5.79%,9.08
https://www.correrjuntos.com/blog/ritmo-para-principiantes-running,24,909,2.64%,9.8
https://www.correrjuntos.com/cities/salamanca,23,236,9.75%,10.76
https://www.correrjuntos.com/cities/guadalajara,22,408,5.39%,8.78
https://www.correrjuntos.com/cities/vigo,22,274,8.03%,9.99
https://www.correrjuntos.com/blog/hoka-clifton-10-vs-asics-novablast-5,21,320,6.56%,10.41
https://www.correrjuntos.com/cities/san-sebastian,21,299,7.02%,11.61
https://www.correrjuntos.com/cities/quito,21,290,7.24%,6.8
http://correrjuntos.com/,21,24,87.5%,1.71
https://www.correrjuntos.com/cities/murcia,20,306,6.54%,11.06
https://www.correrjuntos.com/blog/grupos-running-madrid-principiantes,19,325,5.85%,10.02
https://www.correrjuntos.com/cities/pamplona,19,151,12.58%,12.18
https://www.correrjuntos.com/blog/grupos-running-bilbao,18,110,16.36%,6.5
https://www.correrjuntos.com/blog/mejores-zapatillas-running-asfalto,16,2348,0.68%,13.45
https://www.correrjuntos.com/cities/sevilla,16,191,8.38%,16.41
https://www.correrjuntos.com/blog/quedadas-correr-barcelona,16,185,8.65%,8.46
https://www.correrjuntos.com/blog/en/best-budget-running-shoes,15,5307,0.28%,6.97
https://www.correrjuntos.com/cities/madrid,15,292,5.14%,14.15
https://www.correrjuntos.com/blog/en/marathon-sub-3-30-plan,14,1309,1.07%,13.01
https://www.correrjuntos.com/blog/en/running-soft-flasks,14,1004,1.39%,8.57
https://www.correrjuntos.com/blog/ropa-correr-segun-temperatura,14,745,1.88%,9.75
https://www.correrjuntos.com/blog/grupos-running-zaragoza,14,254,5.51%,21.37
https://www.correrjuntos.com/cities/las-palmas,14,152,9.21%,11.34
https://www.correrjuntos.com/blog/mejores-auriculares-running,13,1391,0.93%,10.8
https://www.correrjuntos.com/cities/brussels,13,335,3.88%,9.7
https://www.correrjuntos.com/cities/lima,13,197,6.6%,10.69
https://www.correrjuntos.com/cities/bilbao,13,128,10.16%,9.89
https://www.correrjuntos.com/blog/periodizacion-entrenamiento-running,12,499,2.4%,6.62
https://www.correrjuntos.com/cities/zaragoza,12,427,2.81%,32.25
https://www.correrjuntos.com/places/parque-del-oeste,12,176,6.82%,6.39
https://www.correrjuntos.com/cities/santander,12,162,7.41%,9.14
